#Annotated with Bakta (v1.7.0): https://github.com/oschwengers/bakta								
#Database (v5.0): https://doi.org/10.5281/zenodo.4247252								
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	19903	20517	-	KK01_00090	entD	4'-phosphopantetheinyl transferase EntD (siderophore biosynthesis)	"COG:COG2977, COG:Q, RefSeq:WP_230311303.1, SO:0001217, UniParc:UPI0002D888F0, UniRef:UniRef100_UPI0002D888F0, UniRef:UniRef50_F5S7B5, UniRef:UniRef90_F5S7B5"
contig_1	cds	20598	21107	+	KK01_00095		Excinuclease	"RefSeq:WP_019390027.1, SO:0001217, UniParc:UPI0002F32B5B, UniRef:UniRef100_UPI0002F32B5B, UniRef:UniRef50_A0A1A9S3E5, UniRef:UniRef90_F5S7B4"
contig_1	cds	21133	21984	+	KK01_00100	wcaA	Glycosyltransferase involved in cell wall bisynthesis	"COG:COG0463, COG:M, SO:0001217, UniRef:UniRef50_F5S7B3, UniRef:UniRef90_F5S7B3"
contig_1	cds	21994	22488	+	KK01_00105		DUF2726 domain-containing protein	"RefSeq:WP_019390025.1, SO:0001217, UniParc:UPI00037AD3E8, UniRef:UniRef100_UPI00037AD3E8, UniRef:UniRef50_F0EW79, UniRef:UniRef90_F5S7B2"
contig_1	cds	22609	22956	-	KK01_00110		HTH cro/C1-type domain-containing protein	"RefSeq:WP_003790424.1, SO:0001217, UniParc:UPI0002585A2E, UniRef:UniRef100_UPI000408F116, UniRef:UniRef50_F5S7B1, UniRef:UniRef90_F5S7B1"
contig_1	cds	23090	24283	-	KK01_00115	pncB	nicotinate phosphoribosyltransferase	"COG:COG1488, COG:H, EC:6.3.4.21, KEGG:K00763, RefSeq:WP_019390024.1, SO:0001217, UniParc:UPI0002E331D2, UniRef:UniRef100_UPI0002E331D2, UniRef:UniRef50_Q6F6W1, UniRef:UniRef90_F5S7B0"
contig_1	cds	24416	25297	+	KK01_00120	ubiA	4-hydroxybenzoate octaprenyltransferase	"COG:COG0382, COG:H, RefSeq:WP_060537095.1, SO:0001217, UniParc:UPI000705E282, UniRef:UniRef100_UPI000705E282, UniRef:UniRef50_Q5P5M0, UniRef:UniRef90_F5S7A9"
contig_1	cds	25347	25874	+	KK01_00125		Methylated-DNA--protein-cysteine methyltransferase	"RefSeq:WP_032133557.1, SO:0001217, UniParc:UPI00050A30C1, UniRef:UniRef100_UPI00050A30C1, UniRef:UniRef50_F5S7A8, UniRef:UniRef90_F5S7A8"
contig_1	cds	25940	27193	+	KK01_00130	sstT	serine/threonine transporter SstT	"COG:COG3633, COG:E, RefSeq:WP_019390021.1, SO:0001217, UniParc:UPI0002F2317D, UniRef:UniRef100_UPI0002F2317D, UniRef:UniRef50_P0AGE5, UniRef:UniRef90_F5S7A7"
contig_1	cds	27265	28278	-	KK01_00135	dusB	tRNA dihydrouridine synthase DusB	"COG:COG0042, COG:J, EC:1.-.-.-, KEGG:K05540, SO:0001217, UniRef:UniRef50_A0A376BTR4, UniRef:UniRef90_F5S7A6"
contig_1	cds	28390	30441	+	KK01_00140	glyS	"Glycyl-tRNA synthetase, beta subunit"	"COG:COG0751, COG:J, SO:0001217, UniRef:UniRef50_Q9JXQ5, UniRef:UniRef90_F5S7A5"
contig_1	cds	30532	31317	+	KK01_00145		DUF4422 domain-containing protein	"RefSeq:WP_003786872.1, SO:0001217, UniParc:UPI00020C7179, UniRef:UniRef100_G1AUD2, UniRef:UniRef50_V9H6P1, UniRef:UniRef90_A0A238HDV2"
contig_1	cds	31332	32471	+	KK01_00150	glf	UDP-galactopyranose mutase	"COG:COG0562, COG:M, RefSeq:WP_038315775.1, SO:0001217, UniParc:UPI00041943C4, UniRef:UniRef100_UPI00041943C4, UniRef:UniRef50_Q6E7F1, UniRef:UniRef90_F5S7A3"
contig_1	cds	32542	34320	+	KK01_00155	wcaE	"Glycosyltransferase, GT2 family"	"COG:COG1216, COG:G, EC:2.4.1.288, KEGG:K16650, RefSeq:WP_003786867.1, SO:0001217, UniParc:UPI00020C7177, UniRef:UniRef100_F5S7A2, UniRef:UniRef50_V9HME2, UniRef:UniRef90_G1AUD4"
contig_1	cds	34415	35611	+	KK01_00160	rfaB	Glycosyltransferase involved in cell wall bisynthesis	"COG:COG0438, COG:M, RefSeq:WP_003786866.1, SO:0001217, UniParc:UPI00020C7176, UniRef:UniRef100_F5S7A1, UniRef:UniRef50_A0A238TEA2, UniRef:UniRef90_A0A238TEA2"
contig_1	cds	35608	36399	+	KK01_00165		"Glycosyltransferase involved in LPS biosynthesis, GR25 family"	"COG:COG3306, COG:M, SO:0001217, UniRef:UniRef50_A0A238TGP0, UniRef:UniRef90_A0A238TGP0"
contig_1	cds	36399	36833	+	KK01_00170		DUF4375 domain-containing protein	"RefSeq:WP_003786863.1, SO:0001217, UniParc:UPI00020C7174, UniRef:UniRef100_F5S799, UniRef:UniRef50_V9HM92, UniRef:UniRef90_F5S799"
contig_1	cds	36840	37400	+	KK01_00175	gmhB	"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase"	"COG:COG0241, COG:E, RefSeq:WP_003786861.1, SO:0001217, UniParc:UPI00020C7173, UniRef:UniRef100_F5S798, UniRef:UniRef50_G2JBX5, UniRef:UniRef90_F5S798"
contig_1	cds	37431	39287	+	KK01_00180	mltE	Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain)	"COG:COG0741, COG:M, RefSeq:WP_019390015.1, SO:0001217, UniParc:UPI00031A7317, UniRef:UniRef100_UPI00031A7317, UniRef:UniRef50_A0A376BKG6, UniRef:UniRef90_F5S797"
contig_1	cds	39331	39984	+	KK01_00185	grxB	glutaredoxin 2	"COG:COG2999, COG:O, KEGG:K03675, RefSeq:WP_019390014.1, SO:0001217, UniParc:UPI0002E71F96, UniRef:UniRef100_UPI0002E71F96, UniRef:UniRef50_F5S796, UniRef:UniRef90_F5S796"
contig_1	cds	40072	41193	-	KK01_00190	bamC	Outer membrane beta-barrel protein assembly factor BamC	"COG:COG3317, COG:M, KEGG:K07287, RefSeq:WP_019390013.1, SO:0001217, UniParc:UPI0002DC8F53, UniRef:UniRef100_UPI0002DC8F53, UniRef:UniRef50_Q9JZR5, UniRef:UniRef90_F5S795"
contig_1	cds	41226	42101	-	KK01_00195	dapA	4-hydroxy-tetrahydrodipicolinate synthase	"COG:COG0329, COG:EM, RefSeq:WP_019390012.1, SO:0001217, UniParc:UPI0002F9FF8E, UniRef:UniRef100_UPI0002F9FF8E, UniRef:UniRef50_Q9JZR4, UniRef:UniRef90_F5S794"
contig_1	cds	42434	42898	+	KK01_00200	bfr	bacterioferritin	"COG:COG2193, COG:P, EC:1.16.3.1, KEGG:K03594, RefSeq:WP_003790389.1, SO:0001217, UniParc:UPI0002585A20, UniRef:UniRef100_UPI0002585A20, UniRef:UniRef50_F5S792, UniRef:UniRef90_F5S792"
contig_1	cds	42911	43384	+	KK01_00205	bfr	bacterioferritin	"COG:COG2193, COG:P, EC:1.16.3.1, KEGG:K03594, SO:0001217, UniRef:UniRef50_P22759, UniRef:UniRef90_F5S791"
contig_1	cds	43551	45212	+	KK01_00210	recN	DNA repair protein RecN	"COG:COG0497, COG:L, RefSeq:WP_019390008.1, SO:0001217, UniParc:UPI00031E2FDE, UniRef:UniRef100_UPI00031E2FDE, UniRef:UniRef50_F2BD61, UniRef:UniRef90_F5S789"
contig_1	tRNA	45302	45377	-	KK01_00215	trnR	tRNA-Arg(ccg)	SO:0001036
contig_1	cds	45606	46445	+	KK01_00220	cytC5	Cytochrome c5	"COG:C, COG:COG3245, RefSeq:WP_019390007.1, SO:0001217, UniParc:UPI00031D35C9, UniRef:UniRef100_UPI00031D35C9, UniRef:UniRef50_V9H7U3, UniRef:UniRef90_F5S788"
contig_1	cds	46981	47433	-	KK01_00225	rplI	50S ribosomal protein L9	"COG:COG0359, COG:J, KEGG:K02939, RefSeq:WP_019390005.1, SO:0001217, UniParc:UPI00031888C0, UniRef:UniRef100_UPI00031888C0, UniRef:UniRef50_B3R2P4, UniRef:UniRef90_F5S786"
contig_1	cds	47449	47679	-	KK01_00230	rpsR	30S ribosomal protein S18	"COG:COG0238, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:1990904, KEGG:K02963, RefSeq:WP_002641495.1, SO:0001217, UniParc:UPI0001A4A0DD, UniRef:UniRef100_D4DR28, UniRef:UniRef50_P57916, UniRef:UniRef90_Q5F923"
contig_1	cds	47685	47981	-	KK01_00235	priB	primosomal replication protein N	"COG:COG2965, COG:L, RefSeq:WP_003786837.1, SO:0001217, UniParc:UPI00020C7166, UniRef:UniRef100_F5S784, UniRef:UniRef50_Q5F924, UniRef:UniRef90_F5S784"
contig_1	cds	47982	48356	-	KK01_00240	rpsF	30S ribosomal protein S6	"COG:COG0360, COG:J, RefSeq:WP_003786836.1, SO:0001217, UniParc:UPI00020C7165, UniRef:UniRef100_F5S783, UniRef:UniRef50_Q5F925, UniRef:UniRef90_V9H681"
contig_1	cds	48566	49513	+	KK01_00245	trxB	thioredoxin-disulfide reductase	"COG:COG0492, COG:O, EC:1.8.1.9, KEGG:K00384, RefSeq:WP_038309287.1, SO:0001217, UniParc:UPI0003FFB6A4, UniRef:UniRef100_UPI0003FFB6A4, UniRef:UniRef50_Q9Z8M4, UniRef:UniRef90_F5S781"
contig_1	cds	49590	52139	-	KK01_00250	zntA	Cation-transporting P-type ATPase	"COG:COG2217, COG:P, SO:0001217, UniRef:UniRef50_A0A7H9W9U2, UniRef:UniRef90_F5S780"
contig_1	cds	52175	53017	-	KK01_00255	lpxP	lysophospholipid acyltransferase family protein	"COG:COG1560, COG:I, EC:2.3.1.-, EC:2.3.1.241, KEGG:K02517, SO:0001217, UniRef:UniRef50_F5S779, UniRef:UniRef90_F5S779"
contig_1	cds	53036	54085	-	KK01_00260	argC	N-acetyl-gamma-glutamyl-phosphate reductase	"COG:COG0002, COG:E, SO:0001217, UniRef:UniRef50_Q6FCI4, UniRef:UniRef90_F5S778"
contig_1	cds	54144	54488	-	KK01_00265		DUF5668 domain-containing protein	"RefSeq:WP_019390000.1, SO:0001217, UniParc:UPI00031B67FD, UniRef:UniRef100_UPI00031B67FD, UniRef:UniRef50_F5S777, UniRef:UniRef90_F5S777"
contig_1	cds	54515	54958	-	KK01_00270	nusB	transcription antitermination factor NusB	"COG:COG0781, COG:K, KEGG:K03625, RefSeq:WP_019389999.1, SO:0001217, UniParc:UPI00030AFA7A, UniRef:UniRef100_UPI00030AFA7A, UniRef:UniRef50_V9H5X3, UniRef:UniRef90_F5S776"
contig_1	cds	54988	55443	-	KK01_00275	ribH	"6,7-dimethyl-8-ribityllumazine synthase"	"COG:COG0054, COG:H, EC:2.5.1.78, KEGG:K00794, RefSeq:WP_019389998.1, SO:0001217, UniParc:UPI0002D7C138, UniRef:UniRef100_F5S775, UniRef:UniRef50_Q21V18, UniRef:UniRef90_F5S775"
contig_1	cds	55453	55779	-	KK01_00280		DUF2185 domain-containing protein	"COG:COG4859, COG:S, RefSeq:WP_003786818.1, SO:0001217, UniParc:UPI00020C715C, UniRef:UniRef100_F5S774, UniRef:UniRef50_A0A1X3CV57, UniRef:UniRef90_F5S774"
contig_1	cds	55813	56778	-	KK01_00285	ansA	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D	"COG:COG0252, COG:JE, RefSeq:WP_019389997.1, SO:0001217, UniParc:UPI0003724DF6, UniRef:UniRef100_UPI0003724DF6, UniRef:UniRef50_X5EL99, UniRef:UniRef90_F5S773"
contig_1	cds	56793	57203	-	KK01_00290		DUF1624 domain-containing protein	"RefSeq:WP_019389996.1, SO:0001217, UniParc:UPI0002F25FA9, UniRef:UniRef100_UPI0002F25FA9, UniRef:UniRef50_F5S772, UniRef:UniRef90_F5S772"
contig_1	cds	57331	57963	+	KK01_00295	upp	uracil phosphoribosyltransferase	"COG:COG0035, COG:F, EC:2.4.2.9, KEGG:K00761, RefSeq:WP_019389995.1, SO:0001217, UniParc:UPI0002D60244, UniRef:UniRef100_UPI0002D60244, UniRef:UniRef50_Q9RU32, UniRef:UniRef90_V9H8R8"
contig_1	cds	58055	58372	+	KK01_00300		DUF2322 domain-containing protein	"COG:COG4390, COG:S, RefSeq:WP_019389994.1, SO:0001217, UniParc:UPI0002EB2BEC, UniRef:UniRef100_UPI0002EB2BEC, UniRef:UniRef50_A4MXL2, UniRef:UniRef90_F5S770"
contig_1	cds	58385	59179	+	KK01_00305	thyA	thymidylate synthase	"COG:COG0207, COG:F, EC:2.1.1.45, KEGG:K00560, RefSeq:WP_019389993.1, SO:0001217, UniParc:UPI0002DE2D15, UniRef:UniRef100_UPI0002DE2D15, UniRef:UniRef50_Q8EH94, UniRef:UniRef90_F5S769"
contig_1	cds	59233	60747	-	KK01_00310		polyamine aminopropyltransferase	"COG:COG4262, COG:R, RefSeq:WP_019389992.1, SO:0001217, UniParc:UPI00035CD003, UniRef:UniRef100_UPI00035CD003, UniRef:UniRef50_I0KG55, UniRef:UniRef90_F5S768"
contig_1	cds	60814	61776	-	KK01_00315	yeaD2	"Uncharacterized conserved protein, DUF58 family, contains vWF domain"	"COG:COG1721, COG:S, RefSeq:WP_003786804.1, SO:0001217, UniParc:UPI00020C6DD5, UniRef:UniRef100_F5S767, UniRef:UniRef50_V9HD53, UniRef:UniRef90_F5S767"
contig_1	cds	61777	62682	-	KK01_00320	moxR	MoxR-like ATPase	"COG:COG0714, COG:R, RefSeq:WP_003786802.1, SO:0001217, UniParc:UPI0001AF9FF6, UniRef:UniRef100_C6ZNL2, UniRef:UniRef50_A0A238HGY5, UniRef:UniRef90_C6ZNL2"
contig_1	cds	62868	64523	-	KK01_00325	atoC	"DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains"	"COG:COG2204, COG:T, RefSeq:WP_019389991.1, SO:0001217, UniParc:UPI0001AF9FF5, UniRef:UniRef100_C6ZNL1, UniRef:UniRef50_V7ICT7, UniRef:UniRef90_C6ZNL1"
contig_1	cds	64520	66127	-	KK01_00330	kdpD	K+-sensing histidine kinase KdpD	"COG:COG2205, COG:T, SO:0001217, UniRef:UniRef50_F5S763, UniRef:UniRef90_F5S763"
contig_1	cds	66141	68414	-	KK01_00335	parC	DNA topoisomerase IV subunit A	"COG:COG0188, COG:L, RefSeq:WP_019389989.1, SO:0001217, UniParc:UPI00031C90D1, UniRef:UniRef100_UPI00031C90D1, UniRef:UniRef50_P48374, UniRef:UniRef90_F5S762"
contig_1	cds	68513	70330	-	KK01_00340	typA	translational GTPase TypA	"COG:COG1217, COG:T, RefSeq:WP_003786789.1, SO:0001217, UniParc:UPI00020C6DD0, UniRef:UniRef100_F5S761, UniRef:UniRef50_A0A2E5UXS5, UniRef:UniRef90_F5S761"
contig_1	cds	70507	70983	+	KK01_00345	luxS	S-ribosylhomocysteine lyase	"COG:COG1854, COG:T, EC:4.4.1.21, KEGG:K07173, RefSeq:WP_038304297.1, SO:0001217, UniParc:UPI0003F7FFF2, UniRef:UniRef100_UPI0003F7FFF2, UniRef:UniRef50_Q9ZMW8, UniRef:UniRef90_F5S760"
contig_1	cds	70980	71717	+	KK01_00350	mtnN	5'-methylthioadenosine/adenosylhomocysteine nucleosidase	"COG:COG0775, COG:FH, RefSeq:WP_019389987.1, SO:0001217, UniParc:UPI0002EF1D1D, UniRef:UniRef100_UPI0002EF1D1D, UniRef:UniRef50_F5S759, UniRef:UniRef90_F5S759"
contig_1	cds	71791	72396	-	KK01_00355	fMR2	Fatty acid repression mutant protein (putative oxidoreductase)	"COG:COG3560, COG:R, KEGG:K07078, RefSeq:WP_019389986.1, SO:0001217, UniParc:UPI00031FDBA7, UniRef:UniRef100_UPI00031FDBA7, UniRef:UniRef50_C7Z1M6, UniRef:UniRef90_F5S758"
contig_1	cds	72582	72830	+	KK01_00360	wbbJ	"Acetyltransferase, isoleucine patch superfamily"	"COG:COG0110, COG:R, EC:2.3.1.79, KEGG:K00661, RefSeq:WP_237714516.1, SO:0001217, UniParc:UPI00070629A4, UniRef:UniRef100_UPI00070629A4, UniRef:UniRef50_A0A1L3NDY1, UniRef:UniRef90_F5S757"
contig_1	cds	72906	73598	+	KK01_00365	tsaB	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	"COG:COG1214, COG:J, RefSeq:WP_019389984.1, SO:0001217, UniParc:UPI000314839F, UniRef:UniRef100_UPI000314839F, UniRef:UniRef50_I4E2N7, UniRef:UniRef90_F5S756"
contig_1	cds	73601	73945	+	KK01_00370	yraN	YraN family protein	"COG:COG0792, COG:L, KEGG:K07460, RefSeq:WP_019389983.1, SO:0001217, UniParc:UPI0002EB0F10, UniRef:UniRef100_UPI0002EB0F10, UniRef:UniRef50_Q9JXE2, UniRef:UniRef90_F5S755"
contig_1	cds	73951	74544	+	KK01_00375	gmhA	phosphoheptose isomerase	"COG:COG0279, COG:G, EC:5.3.1.28, KEGG:K03271, RefSeq:WP_019389982.1, SO:0001217, UniParc:UPI0002E146E9, UniRef:UniRef100_UPI0002E146E9, UniRef:UniRef50_Q8EK08, UniRef:UniRef90_F5S754"
contig_1	cds	74675	75310	+	KK01_00380	osmY	"Osmotically-inducible protein OsmY, contains BON domain"	"COG:COG2823, COG:M, KEGG:K04065, RefSeq:WP_019389981.1, SO:0001217, UniParc:UPI000367FD27, UniRef:UniRef100_UPI000367FD27, UniRef:UniRef50_C4GGA1, UniRef:UniRef90_F5S753"
contig_1	cds	75340	75909	+	KK01_00385		"2-oxoglutarate dehydrogenase E2, dihydrolipoamide acetyltransferase"	"RefSeq:WP_019389980.1, SO:0001217, UniParc:UPI00036437AB, UniRef:UniRef100_UPI00036437AB, UniRef:UniRef50_F5S752, UniRef:UniRef90_F5S752"
contig_1	tRNA	75955	76030	+	KK01_00390	trnK	tRNA-Lys(ttt)	SO:0000265
contig_1	cds	76546	78792	-	KK01_00395	norB	Nitric oxide reductase large subunit	"COG:COG3256, COG:P, EC:1.7.2.5, KEGG:K04561, RefSeq:WP_019389979.1, SO:0001217, UniParc:UPI00030F0B41, UniRef:UniRef100_UPI00030F0B41, UniRef:UniRef50_Q9JYE2, UniRef:UniRef90_F5S751"
contig_1	cds	79256	80788	+	KK01_00400	nirK	copper-containing nitrite reductase	"COG:COG2132, COG:DPM, EC:1.7.2.1, KEGG:K00368, RefSeq:WP_003786767.1, SO:0001217, UniParc:UPI00020C6DC5, UniRef:UniRef100_F5S750, UniRef:UniRef50_C2M5S8, UniRef:UniRef90_F5S750"
contig_1	cds	80880	81623	+	KK01_00405	yfmG	"Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain"	"COG:COG1262, COG:O, RefSeq:WP_003786766.1, SO:0001217, UniParc:UPI00020C6DC4, UniRef:UniRef100_F5S749, UniRef:UniRef50_A0A376BV51, UniRef:UniRef90_F5S749"
contig_1	cds	81698	82738	-	KK01_00410	tdh	Threonine dehydrogenase or related Zn-dependent dehydrogenase	"COG:COG1063, COG:ER, EC:1.1.1.-, KEGG:K18369, RefSeq:WP_038309887.1, SO:0001217, UniParc:UPI0003FAC75D, UniRef:UniRef100_UPI0003FAC75D, UniRef:UniRef50_W0TC93, UniRef:UniRef90_V9HAU7"
contig_1	cds	82987	85290	+	KK01_00415	rimL	"Protein N-acetyltransferase, RimJ/RimL family"	"COG:COG1670, COG:JO, RefSeq:WP_019389977.1, SO:0001217, UniParc:UPI0002F50746, UniRef:UniRef100_UPI0002F50746, UniRef:UniRef50_V9HCW6, UniRef:UniRef90_F5S747"
contig_1	cds	85413	87350	-	KK01_00420	ftsH	ATP-dependent zinc metalloprotease FtsH	"COG:COG0465, COG:O, RefSeq:WP_019389976.1, SO:0001217, UniParc:UPI0002DB8DAB, UniRef:UniRef100_UPI0002DB8DAB, UniRef:UniRef50_C1F8X6, UniRef:UniRef90_A0A376BSS7"
contig_1	cds	87419	88060	-	KK01_00425	rlmE	23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE	"COG:COG0293, COG:J, SO:0001217, UniRef:UniRef50_Q0K8Y4, UniRef:UniRef90_F5S745"
contig_1	cds	88379	88762	+	KK01_00430	sdhC	"succinate dehydrogenase, cytochrome b556 subunit"	"COG:C, COG:COG2009, KEGG:K00241, RefSeq:WP_019389974.1, SO:0001217, UniParc:UPI0002F13805, UniRef:UniRef100_UPI0002F13805, UniRef:UniRef50_G4CRY1, UniRef:UniRef90_F5S744"
contig_1	cds	88756	89103	+	KK01_00435	sdhD	"succinate dehydrogenase, hydrophobic membrane anchor protein"	"COG:C, COG:COG2142, KEGG:K00242, RefSeq:WP_003786756.1, SO:0001217, UniParc:UPI00020C6DBE, UniRef:UniRef100_F5S743, UniRef:UniRef50_D4DV40, UniRef:UniRef90_F5S743"
contig_1	cds	89107	90870	+	KK01_00440	sdhA	succinate dehydrogenase flavoprotein subunit	"COG:C, COG:COG1053, RefSeq:WP_003790320.1, SO:0001217, UniParc:UPI000258552A, UniRef:UniRef100_UPI000258552A, UniRef:UniRef50_P51054, UniRef:UniRef90_G4CG34"
contig_1	cds	90942	91646	+	KK01_00445	sdhB	"Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit"	"COG:C, COG:COG0479, RefSeq:WP_003790318.1, SO:0001217, UniParc:UPI0002585529, UniRef:UniRef100_F5S741, UniRef:UniRef50_A0A6L5DNQ4, UniRef:UniRef90_G4CG35"
contig_1	cds	91750	91998	+	KK01_00450	sdhE	"Succinate dehydrogenase flavin-adding protein, antitoxin component of the CptAB toxin-antitoxin module"	"COG:COG2938, COG:O, RefSeq:WP_003786750.1, SO:0001217, UniParc:UPI00020C6DBB, UniRef:UniRef100_F5S740, UniRef:UniRef50_A0A376BTF4, UniRef:UniRef90_F5S740"
contig_1	cds	92058	93341	+	KK01_00455	gltA	citrate synthase	"COG:C, COG:COG0372, RefSeq:WP_019389973.1, SO:0001217, UniParc:UPI0003656BAD, UniRef:UniRef100_UPI0003656BAD, UniRef:UniRef50_O33915, UniRef:UniRef90_D4DV44"
contig_1	cds	93554	96385	+	KK01_00460	sucA	2-oxoglutarate dehydrogenase E1 component	"COG:C, COG:COG0567, SO:0001217, UniRef:UniRef50_V9HM82, UniRef:UniRef90_F5S738"
contig_1	cds	96465	97634	+	KK01_00465	odhB	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase	"COG:C, COG:COG0508, RefSeq:WP_038303303.1, SO:0001217, UniParc:UPI0003F82653, UniRef:UniRef100_UPI0003F82653, UniRef:UniRef50_P52993, UniRef:UniRef90_F5S737"
contig_1	cds	97697	99556	-	KK01_00470	hemY	Protoporphyrinogen oxidase HemY/PPOX	"COG:COG1232, COG:H, EC:1.5.99.6, KEGG:K00316, RefSeq:WP_019389970.1, SO:0001217, UniParc:UPI00031FA312, UniRef:UniRef100_UPI00031FA312, UniRef:UniRef50_A0A7D7N2W3, UniRef:UniRef90_F5S736"
